지반침하사고발생신고,,,,,,,,,,,,,,,,,,,
No,사고발생위치,사고발생일자,통보일자,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),사고지점위도,사고지점경도,복구방법,복구상태,복구완료일자,최종수정일자,최종 수정자,최종 수정자 ID
48,경기도 파주시 문발동 650,2024-07-19 오전 00:00,2024-09-23 오후 07:27,상수관 손상,기타,3,5,0.1,0,0,0,37.7240521079,126.6924213297,폐공조치 ,복구완료,2024-09-12 오전 00:00,2025-02-11 오후 02:17,경기도 파주시,vxzjl9721
49,경기도 용인시 수지구 성복동 361-11,2024-07-18 오전 00:00,2024-07-18 오전 12:13,하수관 손상,,3,4,5,0,0,0,37.3226138263,127.0598705536,"토사, 골재 반입 후 되메우기 및 다짐",복구완료,2024-08-29 오전 00:00,2025-02-05 오전 11:26,경기도 용인시,dyddls2437
50,경기도 의정부시 용현동 558 (용현동 17 앞 횡단보도),2024-07-18 오전 00:00,2025-01-08 오후 04:38,기타,기타,1,1,0.7,0,0,0,37.7359058328,127.0877937198,긴급보수공사 실시,복구완료,2024-07-20 오전 00:00,2025-02-05 오전 11:15,경기도 의정부시,wnruddnjs123
51,세종특별자치시 세종특별자치시 어진동 662,2024-07-16 오전 00:00,2024-08-02 오전 10:43,하수관 손상,기타,2,1.5,2,0,1,0,36.4964528042,127.2583620673,"하수 누출로 인하여 배수작업(양화취수장), 하수관로 차단, 오수관로 신규 설치, 되메우기",복구완료,2024-07-20 오전 00:00,2025-01-15 오후 01:42,세종특별자치시,wlgkdkswjs2
52,경기도 남양주시 진접읍 내각리 440,2024-07-16 오전 00:00,2024-07-17 오후 06:01,굴착공사 부실,,17,6,0.1,0,0,0,37.6982539562,127.1660944125,아스콘 복구,복구완료,2024-07-16 오전 00:00,2024-07-18 오후 05:44,신상기,ssk3325
53,서울특별시 마포구 서교동 353-1,2024-07-13 오전 00:00,2024-07-15 오전 08:20,하수관 손상,,0.5,0.5,1.5,0,0,0,37.5551506432,126.9212147309,하수관 복구 완료,복구완료,2024-07-14 오전 00:00,2024-07-15 오전 08:20,,
54,대구광역시 군위군 군위읍 수서리 1474-5,2024-07-11 오전 00:00,2024-07-22 오후 06:50,상하수관공사 부실,기타,1.5,12,3,0,0,0,36.186992763,128.552607042,응급복구완료,복구완료,2024-07-11 오전 00:00,2024-07-26 오전 09:10,신상기,ssk3325
55,경기도 수원시 팔달구 인계동 1142(경기도 수원시 팔달구 효원로 286-2),2024-07-11 오전 00:00,2024-07-12 오후 05:26,기타,,0.4,6.5,1,0,0,0,37.2614108203,127.0330347467,"골재 충진 후 다짐 실시 이후 아스팔트 가포장 완료
경과를 지켜 본 후 이상 없을 시 본포장 계획",복구완료,2024-07-11 오전 00:00,2024-07-12 오후 05:26,,
56,충청남도 아산시 모종동 573-2,2024-07-06 오전 00:00,2025-01-23 오전 09:27,다짐(되메우기) 불량,,1.35,1.5,0.75,0,0,0,36.7826904642,127.0144800588,"긴급보수공사(되메우기, 콘크리트, 아스콘 공사)",복구완료,2024-07-23 오전 00:00,2025-01-23 오전 09:27,충청남도 아산시,asanunder
57,부산광역시 동래구 온천동 1441-13번지,2024-07-03 오전 00:00,2024-08-01 오후 05:49,기타,기타,0.6,1,2,0,0,0,35.2047993672,129.0767872996,"상수도관 및 통신관: 누수 및 관로파손 확인 안됨
배수설비관, 도시가스관: 함몰구간 주변 관로 없음
도시철도 동래역 6번출구 주변 매몰된 H파일 및 토류벽 확인됨
해당구간 GPR 탐사결과, 해당구간 공동 없음
되메우기 복구 롼료",복구완료,2024-07-06 오전 00:00,2025-01-03 오후 03:21,부산광역시 동래구,wjune73
58,인천광역시 연수구 송도동 313-12,2024-06-30 오전 00:00,2024-07-01 오후 08:09,굴착공사 부실,,1.5,32,1.5,0,0,0,37.4108988048,126.6291076162,도로임시포장완료,임시복구,2024-07-01 오전 00:00,2024-07-01 오후 08:09,,
59,광주광역시 서구 벽진동 22,2024-06-27 오전 00:00,2024-08-14 오후 01:27,하수관 손상,기타,3,5,1,0,0,0,35.1399912254,126.8313789849,"관로 보수 완료 
",복구완료,2024-06-27 오전 00:00,2024-07-16 오전 09:36,,
60,경기도 평택시 이충동 346-13 일원(부영아파트사거리),2024-06-24 오전 00:00,2024-06-25 오후 02:56,상수관 손상,기타,1.5,2,1,0,0,1,37.060021419,127.064753364,상수도관 연결부 체결 및 용접 완료 후 모래,복구완료,2024-06-24 오전 00:00,2024-08-07 오후 03:57,신상기,ssk3325
61,인천광역시 연수구 송도동 23-5번지,2024-06-20 오전 00:00,2024-06-28 오후 03:12,상수관 손상,,2,1,0.8,0,0,0,37.3931909639,126.6422398812,상수도관 교체,복구완료,2024-06-23 오전 00:00,2024-06-28 오후 03:12,상수도사업본부 수도시설관리소,tnehtltjftjrn
62,경기도 용인시 처인구 원삼면 1045-7번지 일원,2024-06-16 오전 00:00,2024-06-19 오후 06:02,굴착공사 부실,,6,6,1.5,0,0,0,37.1313242729,127.3018543776,농지 복토,복구완료,2024-06-16 오전 00:00,2024-07-31 오후 04:35,신상기,ssk3325
63,충청북도 옥천군 군서면 금산리 718-1,2024-06-01 오전 00:00,2025-01-16 오전 09:28,하수관 손상,기타,1.5,3,4,0,0,0,36.273884858,127.5330712324,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2024-06-11 오전 00:00,2025-02-03 오후 03:24,충청북도 옥천군,KSW26939
64,부산광역시 서구 충무동1가 39-11,2024-05-29 오전 00:00,2024-06-15 오전 07:17,상수관 손상,,1.5,2.3,0.7,0,0,0,35.0934530414,129.0238832358,"굴착 후 상수도 밸브 잠금작업 및 폐관제거, 임시복구 후 항구복구",복구완료,2024-05-29 오전 00:00,2024-06-15 오전 07:17,,
65,세종특별자치시 세종특별자치시 반곡동 산211-1,2024-05-29 오전 00:00,2024-07-18 오전 08:52,기타매설물 손상,기타,0.3,2,1.5,0,0,0,36.4837969686,127.3174511319,우수맨홀 및 도로 항구복구,복구완료,2024-05-30 오전 00:00,2024-07-18 오전 08:51,,
66,제주특별자치도 제주시 이도이동 서광로 274,2024-05-28 오전 00:00,2024-07-18 오후 10:17,하수관 손상,,0.25,0.4,1,0,0,0,33.5000606517,126.5258780227,포장 복구 완료,복구완료,2024-06-10 오전 00:00,2024-07-18 오후 10:17,제주특별자치도 상하수도본부,gktneh349
67,대전광역시 중구 사정동 사정동 405-7,2024-05-27 오전 00:00,2024-07-17 오후 01:33,하수관 손상,,0.1,0.1,2.4,0,0,0,36.2961348586,127.3857026225,"손상 부분 몰탈 보수 후 되메우기 및 포장 복구 완료
",복구완료,2024-05-28 오전 00:00,2024-07-17 오후 01:33,,
68,대전광역시 중구 사정동 사정동 441-6,2024-05-16 오전 00:00,2024-07-17 오후 01:31,하수관 손상,,0.5,0.5,2.2,0,0,0,36.2959446222,127.3880052989,"손상 부분 몰탈 보수 후 되메우기 및 포장 복구 완료
",복구완료,2024-05-17 오전 00:00,2024-07-17 오후 01:31,,
69,경상남도 진주시 상평동 대신로168,2024-05-14 오전 00:00,2024-05-14 오후 06:19,하수관 손상,,0.8,1.5,0.8,0,0,0,35.1752224502,128.1179123428,복구,복구완료,2024-05-31 오전 00:00,2024-07-15 오전 10:07,신상기,ssk3325
70,전라남도 화순군 화순읍 일심리 877,2024-05-14 오전 00:00,2024-05-16 오후 01:30,상수관 손상,기타,1,1,1,0,0,0,35.0607249032,126.9955909236,"상수관 보수 및 유실구간 모래채움, 다짐공사 실시",복구완료,2024-05-15 오전 00:00,2024-08-06 오후 02:57,신상기,ssk3325
71,경기도 평택시 평택동 201-2,2024-05-13 오전 00:00,2024-07-17 오전 10:59,하수관 손상,,0.8,0.8,1,0,0,0,36.9881705588,127.0902031671,긴급보수공사,복구완료,2024-05-15 오전 00:00,2024-07-31 오후 04:40,신상기,ssk3325
72,부산광역시 동래구 사직동 981-99번지,2024-05-09 오전 00:00,2024-08-01 오후 05:57,기타매설공사 부실,기타,1,1,0.2,0,0,0,35.1980337809,129.0532145508,착부분 되메우기 재시공 및 포장복구 완료 등,복구완료,2024-05-10 오전 00:00,2024-08-01 오후 05:57,,
73,부산광역시 연제구 연산동 1799-3번지(다온약국 앞),2024-05-07 오전 00:00,2024-05-15 오후 04:58,기타,기타,0.7,3,1,0,0,0,35.1734983817,129.0942234746,확인굴착 후 되메우기  ,복구완료,2024-06-13 오전 00:00,2024-07-23 오전 09:41,신상기,ssk3325
74,부산광역시 사상구 감전동 162-22,2024-05-05 오전 00:00,2024-05-16 오전 11:35,하수관 손상,기타,1.5,2,1.5,0,0,0,35.1510847239,128.9820432035,-하수관로 정비 후 아스팔트 포장 예정,복구완료,2024-05-17 오전 00:00,2024-09-30 오후 02:08,신상기,ssk3325
75,서울특별시 강남구 논현동 논현동 61-7 앞 도로,2024-05-01 오전 00:00,2024-05-05 오전 12:51,하수관 손상,,0.3,0.8,1.5,0,0,1,37.5202917502,127.031989532,파손된 연결관 교체 후 되메우기 및 다짐하여 응급 복구 완료,복구완료,2024-05-02 오전 00:00,2024-07-29 오전 09:56,신상기,ssk3325
76,경기도 의정부시 호원동 286-15,2024-05-01 오전 00:00,2024-07-19 오전 10:23,하수관 손상,,1,3,2,0,0,0,37.7202836507,127.0457198202,하수관 보수 및 소파 보수 조치,복구완료,2024-06-29 오전 00:00,2024-07-31 오후 04:47,신상기,ssk3325
77,부산광역시 사상구 감전동 162-22,2024-04-30 오전 00:00,2024-05-16 오전 11:34,상수관 손상,기타,1.5,0.8,2,0,0,1,35.1509993758,128.9821694839, - 관로 파손 부 복구 후 아스팔트 포장 실시 예정,복구완료,2024-05-17 오전 00:00,2024-08-06 오전 11:26,신상기,ssk3325
78,전라남도 완도군 완도읍 가용리 1088-5 인근,2024-04-26 오전 00:00,2024-08-06 오후 05:36,하수관 손상,기타,0.3,0.5,1.2,0,0,0,34.3356968293,126.7372888318,싱크홀 복구사업 공사 시행,복구완료,2024-04-27 오전 00:00,2024-08-22 오전 09:53,신상기,ssk3325
79,부산광역시 사하구 괴정동 207-52번지 앞 도로,2024-04-25 오전 00:00,2024-08-06 오후 01:11,다짐(되메우기) 불량,,6,2.7,0.7,0,0,0,35.1055370514,129.0022871693,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,복구완료,2024-04-27 오전 00:00,2024-07-23 오후 01:06,,
80,세종특별자치시 세종특별자치시 어진동 633,2024-04-23 오전 00:00,2024-07-18 오전 08:45,상수관 손상,기타,2,2,1.5,0,0,0,36.4975783381,127.2573488629,배수 및 상수도관 접합 후 항구복구 ,복구완료,2024-04-24 오전 00:00,2024-07-18 오전 08:45,,
81,경기도 남양주시 호평동 559-4,2024-04-19 오전 00:00,2024-10-16 오후 01:42,하수관 손상,,0.3,0.3,2.7,0,0,0,37.6595510695,127.2384237965,수로관 보수 및 아스콘 복구,복구완료,2024-04-20 오전 00:00,2024-10-16 오후 03:07,신상기,ssk3325
82,경기도 남양주시 호평동 560-4,2024-04-19 오전 00:00,2024-10-16 오후 01:46,하수관 손상,,0.7,0.5,1,0,0,0,37.660510833,127.237479659,수로관 교체 및 아스콘 복구,복구완료,2024-04-20 오전 00:00,2024-10-16 오후 02:08,신상기,ssk3325
